Market,Route,Period,Date,Amount,Currency
Carbon,ICE_EUA,SPOT,11/1/2023,82.57,USD
Carbon,ICE_EUA,DEC-2023,11/1/2023,82.76,USD
Carbon,ICE_EUA,JAN-2024,11/1/2023,83.22,USD
Carbon,ICE_EUA,MAR-2024,11/1/2023,83.78,USD
Carbon,ICE_EUA,APR-2024,11/1/2023,83.78,USD
Carbon,ICE_EUA,JUN-2024,11/1/2023,84.82,USD
Carbon,ICE_EUA,AUG-2024,11/1/2023,85.50,USD
Carbon,ICE_EUA,SEP-2024,11/1/2023,85.83,USD
Carbon,ICE_EUA,OCT-2024,11/1/2023,85.83,USD
Carbon,ICE_EUA,DEC-2024,11/1/2023,86.90,USD
Carbon,ICE_EUA,JAN-2025,11/1/2023,86.90,USD
Carbon,ICE_EUA,MAR-2025,11/1/2023,87.98,USD
Carbon,ICE_EUA,APR-2025,11/1/2023,87.98,USD
Carbon,ICE_EUA,JUN-2025,11/1/2023,88.87,USD
Carbon,ICE_EUA,AUG-2025,11/1/2023,89.43,USD
Carbon,ICE_EUA,SEP-2025,11/1/2023,89.67,USD
Carbon,ICE_EUA,OCT-2025,11/1/2023,89.67,USD
Carbon,ICE_EUA,DEC-2025,11/1/2023,90.56,USD
Carbon,ICE_EUA,JAN-2026,11/1/2023,90.56,USD
Carbon,ICE_EUA,MAR-2026,11/1/2023,91.52,USD
Carbon,ICE_EUA,APR-2026,11/1/2023,91.52,USD
Carbon,ICE_EUA,DEC-2026,11/1/2023,94.30,USD
Carbon,ICE_EUA,DEC-2027,11/1/2023,98.25,USD
Carbon,ICE_EUA,DEC-2028,11/1/2023,102.51,USD
Carbon,ICE_EUA,DEC-2029,11/1/2023,106.78,USD
Carbon,ICE_EUA,DEC-2030,11/1/2023,106.78,USD
Carbon,ICE_EUA,SPOT,11/2/2023,83.64,USD
Carbon,ICE_EUA,DEC-2023,11/2/2023,83.81,USD
Carbon,ICE_EUA,JAN-2024,11/2/2023,84.29,USD
Carbon,ICE_EUA,MAR-2024,11/2/2023,84.83,USD
Carbon,ICE_EUA,APR-2024,11/2/2023,84.83,USD
Carbon,ICE_EUA,JUN-2024,11/2/2023,85.98,USD
Carbon,ICE_EUA,AUG-2024,11/2/2023,86.64,USD
Carbon,ICE_EUA,SEP-2024,11/2/2023,87.10,USD
Carbon,ICE_EUA,OCT-2024,11/2/2023,87.10,USD
Carbon,ICE_EUA,DEC-2024,11/2/2023,87.96,USD
Carbon,ICE_EUA,JAN-2025,11/2/2023,87.96,USD
Carbon,ICE_EUA,MAR-2025,11/2/2023,89.06,USD
Carbon,ICE_EUA,APR-2025,11/2/2023,89.06,USD
Carbon,ICE_EUA,JUN-2025,11/2/2023,89.94,USD
Carbon,ICE_EUA,AUG-2025,11/2/2023,90.48,USD
Carbon,ICE_EUA,SEP-2025,11/2/2023,90.69,USD
Carbon,ICE_EUA,OCT-2025,11/2/2023,90.69,USD
Carbon,ICE_EUA,DEC-2025,11/2/2023,91.55,USD
Carbon,ICE_EUA,JAN-2026,11/2/2023,91.55,USD
Carbon,ICE_EUA,MAR-2026,11/2/2023,92.51,USD
Carbon,ICE_EUA,APR-2026,11/2/2023,92.51,USD
Carbon,ICE_EUA,DEC-2026,11/2/2023,95.34,USD
Carbon,ICE_EUA,DEC-2027,11/2/2023,99.23,USD
Carbon,ICE_EUA,DEC-2028,11/2/2023,103.34,USD
Carbon,ICE_EUA,DEC-2029,11/2/2023,107.44,USD
Carbon,ICE_EUA,DEC-2030,11/2/2023,107.44,USD
Carbon,ICE_EUA,SPOT,11/3/2023,82.91,USD
Carbon,ICE_EUA,DEC-2023,11/3/2023,83.09,USD
Carbon,ICE_EUA,JAN-2024,11/3/2023,83.56,USD
Carbon,ICE_EUA,MAR-2024,11/3/2023,84.13,USD
Carbon,ICE_EUA,APR-2024,11/3/2023,84.13,USD
Carbon,ICE_EUA,JUN-2024,11/3/2023,85.20,USD
Carbon,ICE_EUA,AUG-2024,11/3/2023,85.87,USD
Carbon,ICE_EUA,SEP-2024,11/3/2023,86.35,USD
Carbon,ICE_EUA,OCT-2024,11/3/2023,86.35,USD
Carbon,ICE_EUA,DEC-2024,11/3/2023,87.24,USD
Carbon,ICE_EUA,JAN-2025,11/3/2023,87.24,USD
Carbon,ICE_EUA,MAR-2025,11/3/2023,88.35,USD
Carbon,ICE_EUA,APR-2025,11/3/2023,88.35,USD
Carbon,ICE_EUA,JUN-2025,11/3/2023,89.22,USD
Carbon,ICE_EUA,AUG-2025,11/3/2023,89.77,USD
Carbon,ICE_EUA,SEP-2025,11/3/2023,89.98,USD
Carbon,ICE_EUA,OCT-2025,11/3/2023,89.98,USD
Carbon,ICE_EUA,DEC-2025,11/3/2023,90.86,USD
Carbon,ICE_EUA,JAN-2026,11/3/2023,90.86,USD
Carbon,ICE_EUA,MAR-2026,11/3/2023,91.93,USD
Carbon,ICE_EUA,APR-2026,11/3/2023,91.93,USD
Carbon,ICE_EUA,DEC-2026,11/3/2023,94.71,USD
Carbon,ICE_EUA,DEC-2027,11/3/2023,98.62,USD
Carbon,ICE_EUA,DEC-2028,11/3/2023,102.74,USD
Carbon,ICE_EUA,DEC-2029,11/3/2023,106.86,USD
Carbon,ICE_EUA,DEC-2030,11/3/2023,106.86,USD
Carbon,ICE_EUA,SPOT,11/6/2023,81.26,USD
Carbon,ICE_EUA,DEC-2023,11/6/2023,81.46,USD
Carbon,ICE_EUA,JAN-2024,11/6/2023,81.92,USD
Carbon,ICE_EUA,MAR-2024,11/6/2023,82.47,USD
Carbon,ICE_EUA,APR-2024,11/6/2023,82.47,USD
Carbon,ICE_EUA,JUN-2024,11/6/2023,83.52,USD
Carbon,ICE_EUA,AUG-2024,11/6/2023,84.18,USD
Carbon,ICE_EUA,SEP-2024,11/6/2023,84.65,USD
Carbon,ICE_EUA,OCT-2024,11/6/2023,84.65,USD
Carbon,ICE_EUA,DEC-2024,11/6/2023,85.51,USD
Carbon,ICE_EUA,JAN-2025,11/6/2023,85.51,USD
Carbon,ICE_EUA,MAR-2025,11/6/2023,86.62,USD
Carbon,ICE_EUA,APR-2025,11/6/2023,86.62,USD
Carbon,ICE_EUA,JUN-2025,11/6/2023,87.49,USD
Carbon,ICE_EUA,AUG-2025,11/6/2023,88.02,USD
Carbon,ICE_EUA,SEP-2025,11/6/2023,88.23,USD
Carbon,ICE_EUA,OCT-2025,11/6/2023,88.23,USD
Carbon,ICE_EUA,DEC-2025,11/6/2023,89.11,USD
Carbon,ICE_EUA,JAN-2026,11/6/2023,89.11,USD
Carbon,ICE_EUA,MAR-2026,11/6/2023,90.18,USD
Carbon,ICE_EUA,APR-2026,11/6/2023,90.18,USD
Carbon,ICE_EUA,DEC-2026,11/6/2023,92.97,USD
Carbon,ICE_EUA,DEC-2027,11/6/2023,97.03,USD
Carbon,ICE_EUA,DEC-2028,11/6/2023,101.17,USD
Carbon,ICE_EUA,DEC-2029,11/6/2023,105.31,USD
Carbon,ICE_EUA,DEC-2030,11/6/2023,105.31,USD
Carbon,ICE_EUA,SPOT,11/7/2023,80.20,USD
Carbon,ICE_EUA,DEC-2023,11/7/2023,80.41,USD
Carbon,ICE_EUA,JAN-2024,11/7/2023,80.89,USD
Carbon,ICE_EUA,MAR-2024,11/7/2023,81.41,USD
Carbon,ICE_EUA,APR-2024,11/7/2023,81.41,USD
Carbon,ICE_EUA,JUN-2024,11/7/2023,82.43,USD
Carbon,ICE_EUA,AUG-2024,11/7/2023,83.07,USD
Carbon,ICE_EUA,SEP-2024,11/7/2023,83.54,USD
Carbon,ICE_EUA,OCT-2024,11/7/2023,83.54,USD
Carbon,ICE_EUA,DEC-2024,11/7/2023,84.40,USD
Carbon,ICE_EUA,JAN-2025,11/7/2023,84.40,USD
Carbon,ICE_EUA,MAR-2025,11/7/2023,85.50,USD
Carbon,ICE_EUA,APR-2025,11/7/2023,85.50,USD
Carbon,ICE_EUA,JUN-2025,11/7/2023,86.33,USD
Carbon,ICE_EUA,AUG-2025,11/7/2023,86.85,USD
Carbon,ICE_EUA,SEP-2025,11/7/2023,87.03,USD
Carbon,ICE_EUA,OCT-2025,11/7/2023,87.03,USD
Carbon,ICE_EUA,DEC-2025,11/7/2023,87.87,USD
Carbon,ICE_EUA,JAN-2026,11/7/2023,87.87,USD
Carbon,ICE_EUA,MAR-2026,11/7/2023,89.03,USD
Carbon,ICE_EUA,APR-2026,11/7/2023,89.03,USD
Carbon,ICE_EUA,DEC-2026,11/7/2023,91.61,USD
Carbon,ICE_EUA,DEC-2027,11/7/2023,95.61,USD
Carbon,ICE_EUA,DEC-2028,11/7/2023,99.72,USD
Carbon,ICE_EUA,DEC-2029,11/7/2023,103.84,USD
Carbon,ICE_EUA,DEC-2030,11/7/2023,103.84,USD
Carbon,ICE_EUA,SPOT,11/8/2023,80.58,USD
Carbon,ICE_EUA,DEC-2023,11/8/2023,80.78,USD
Carbon,ICE_EUA,JAN-2024,11/8/2023,81.26,USD
Carbon,ICE_EUA,MAR-2024,11/8/2023,81.77,USD
Carbon,ICE_EUA,APR-2024,11/8/2023,81.77,USD
Carbon,ICE_EUA,JUN-2024,11/8/2023,82.84,USD
Carbon,ICE_EUA,AUG-2024,11/8/2023,83.51,USD
Carbon,ICE_EUA,SEP-2024,11/8/2023,83.92,USD
Carbon,ICE_EUA,OCT-2024,11/8/2023,83.92,USD
Carbon,ICE_EUA,DEC-2024,11/8/2023,84.76,USD
Carbon,ICE_EUA,JAN-2025,11/8/2023,84.76,USD
Carbon,ICE_EUA,MAR-2025,11/8/2023,85.86,USD
Carbon,ICE_EUA,APR-2025,11/8/2023,85.86,USD
Carbon,ICE_EUA,JUN-2025,11/8/2023,86.69,USD
Carbon,ICE_EUA,AUG-2025,11/8/2023,87.20,USD
Carbon,ICE_EUA,SEP-2025,11/8/2023,87.39,USD
Carbon,ICE_EUA,OCT-2025,11/8/2023,87.39,USD
Carbon,ICE_EUA,DEC-2025,11/8/2023,88.23,USD
Carbon,ICE_EUA,JAN-2026,11/8/2023,88.23,USD
Carbon,ICE_EUA,MAR-2026,11/8/2023,89.42,USD
Carbon,ICE_EUA,APR-2026,11/8/2023,89.42,USD
Carbon,ICE_EUA,DEC-2026,11/8/2023,91.96,USD
Carbon,ICE_EUA,DEC-2027,11/8/2023,95.87,USD
Carbon,ICE_EUA,DEC-2028,11/8/2023,99.98,USD
Carbon,ICE_EUA,DEC-2029,11/8/2023,104.09,USD
Carbon,ICE_EUA,DEC-2030,11/8/2023,104.09,USD
Carbon,ICE_EUA,SPOT,11/9/2023,82.51,USD
Carbon,ICE_EUA,DEC-2023,11/9/2023,82.73,USD
Carbon,ICE_EUA,JAN-2024,11/9/2023,83.17,USD
Carbon,ICE_EUA,MAR-2024,11/9/2023,83.72,USD
Carbon,ICE_EUA,APR-2024,11/9/2023,83.72,USD
Carbon,ICE_EUA,JUN-2024,11/9/2023,84.81,USD
Carbon,ICE_EUA,AUG-2024,11/9/2023,85.49,USD
Carbon,ICE_EUA,SEP-2024,11/9/2023,85.89,USD
Carbon,ICE_EUA,OCT-2024,11/9/2023,85.89,USD
Carbon,ICE_EUA,DEC-2024,11/9/2023,86.74,USD
Carbon,ICE_EUA,JAN-2025,11/9/2023,86.74,USD
Carbon,ICE_EUA,MAR-2025,11/9/2023,87.84,USD
Carbon,ICE_EUA,APR-2025,11/9/2023,87.84,USD
Carbon,ICE_EUA,JUN-2025,11/9/2023,88.67,USD
Carbon,ICE_EUA,AUG-2025,11/9/2023,89.18,USD
Carbon,ICE_EUA,SEP-2025,11/9/2023,89.37,USD
Carbon,ICE_EUA,OCT-2025,11/9/2023,89.37,USD
Carbon,ICE_EUA,DEC-2025,11/9/2023,90.21,USD
Carbon,ICE_EUA,JAN-2026,11/9/2023,90.21,USD
Carbon,ICE_EUA,MAR-2026,11/9/2023,91.44,USD
Carbon,ICE_EUA,APR-2026,11/9/2023,91.44,USD
Carbon,ICE_EUA,DEC-2026,11/9/2023,93.99,USD
Carbon,ICE_EUA,DEC-2027,11/9/2023,97.90,USD
Carbon,ICE_EUA,DEC-2028,11/9/2023,102.01,USD
Carbon,ICE_EUA,DEC-2029,11/9/2023,106.13,USD
Carbon,ICE_EUA,DEC-2030,11/9/2023,106.13,USD
Carbon,ICE_EUA,SPOT,11/10/2023,83.85,USD
Carbon,ICE_EUA,DEC-2023,11/10/2023,84.08,USD
Carbon,ICE_EUA,JAN-2024,11/10/2023,84.51,USD
Carbon,ICE_EUA,MAR-2024,11/10/2023,85.07,USD
Carbon,ICE_EUA,APR-2024,11/10/2023,85.07,USD
Carbon,ICE_EUA,JUN-2024,11/10/2023,86.11,USD
Carbon,ICE_EUA,AUG-2024,11/10/2023,86.90,USD
Carbon,ICE_EUA,SEP-2024,11/10/2023,87.29,USD
Carbon,ICE_EUA,OCT-2024,11/10/2023,87.29,USD
Carbon,ICE_EUA,DEC-2024,11/10/2023,88.09,USD
Carbon,ICE_EUA,JAN-2025,11/10/2023,88.09,USD
Carbon,ICE_EUA,MAR-2025,11/10/2023,89.18,USD
Carbon,ICE_EUA,APR-2025,11/10/2023,89.18,USD
Carbon,ICE_EUA,JUN-2025,11/10/2023,90.02,USD
Carbon,ICE_EUA,AUG-2025,11/10/2023,90.53,USD
Carbon,ICE_EUA,SEP-2025,11/10/2023,90.71,USD
Carbon,ICE_EUA,OCT-2025,11/10/2023,90.71,USD
Carbon,ICE_EUA,DEC-2025,11/10/2023,91.59,USD
Carbon,ICE_EUA,JAN-2026,11/10/2023,91.59,USD
Carbon,ICE_EUA,MAR-2026,11/10/2023,92.89,USD
Carbon,ICE_EUA,APR-2026,11/10/2023,92.89,USD
Carbon,ICE_EUA,DEC-2026,11/10/2023,95.29,USD
Carbon,ICE_EUA,DEC-2027,11/10/2023,99.25,USD
Carbon,ICE_EUA,DEC-2028,11/10/2023,103.31,USD
Carbon,ICE_EUA,DEC-2029,11/10/2023,107.36,USD
Carbon,ICE_EUA,DEC-2030,11/10/2023,107.36,USD
Carbon,ICE_EUA,SPOT,11/13/2023,82.46,USD
Carbon,ICE_EUA,DEC-2023,11/13/2023,82.67,USD
Carbon,ICE_EUA,JAN-2024,11/13/2023,83.13,USD
Carbon,ICE_EUA,MAR-2024,11/13/2023,83.67,USD
Carbon,ICE_EUA,APR-2024,11/13/2023,83.67,USD
Carbon,ICE_EUA,JUN-2024,11/13/2023,84.68,USD
Carbon,ICE_EUA,AUG-2024,11/13/2023,85.42,USD
Carbon,ICE_EUA,SEP-2024,11/13/2023,85.80,USD
Carbon,ICE_EUA,OCT-2024,11/13/2023,85.80,USD
Carbon,ICE_EUA,DEC-2024,11/13/2023,86.58,USD
Carbon,ICE_EUA,JAN-2025,11/13/2023,86.58,USD
Carbon,ICE_EUA,MAR-2025,11/13/2023,87.63,USD
Carbon,ICE_EUA,APR-2025,11/13/2023,87.63,USD
Carbon,ICE_EUA,JUN-2025,11/13/2023,88.48,USD
Carbon,ICE_EUA,AUG-2025,11/13/2023,89.00,USD
Carbon,ICE_EUA,SEP-2025,11/13/2023,89.19,USD
Carbon,ICE_EUA,OCT-2025,11/13/2023,89.19,USD
Carbon,ICE_EUA,DEC-2025,11/13/2023,90.08,USD
Carbon,ICE_EUA,JAN-2026,11/13/2023,90.08,USD
Carbon,ICE_EUA,MAR-2026,11/13/2023,91.38,USD
Carbon,ICE_EUA,APR-2026,11/13/2023,91.38,USD
Carbon,ICE_EUA,DEC-2026,11/13/2023,93.75,USD
Carbon,ICE_EUA,DEC-2027,11/13/2023,97.70,USD
Carbon,ICE_EUA,DEC-2028,11/13/2023,101.75,USD
Carbon,ICE_EUA,DEC-2029,11/13/2023,105.80,USD
Carbon,ICE_EUA,DEC-2030,11/13/2023,105.80,USD
Carbon,ICE_EUA,SPOT,11/14/2023,84.10,USD
Carbon,ICE_EUA,DEC-2023,11/14/2023,84.32,USD
Carbon,ICE_EUA,JAN-2024,11/14/2023,84.78,USD
Carbon,ICE_EUA,MAR-2024,11/14/2023,85.33,USD
Carbon,ICE_EUA,APR-2024,11/14/2023,85.33,USD
Carbon,ICE_EUA,JUN-2024,11/14/2023,86.35,USD
Carbon,ICE_EUA,AUG-2024,11/14/2023,87.11,USD
Carbon,ICE_EUA,SEP-2024,11/14/2023,87.51,USD
Carbon,ICE_EUA,OCT-2024,11/14/2023,87.51,USD
Carbon,ICE_EUA,DEC-2024,11/14/2023,88.32,USD
Carbon,ICE_EUA,JAN-2025,11/14/2023,88.32,USD
Carbon,ICE_EUA,MAR-2025,11/14/2023,89.40,USD
Carbon,ICE_EUA,APR-2025,11/14/2023,89.40,USD
Carbon,ICE_EUA,JUN-2025,11/14/2023,90.24,USD
Carbon,ICE_EUA,AUG-2025,11/14/2023,90.77,USD
Carbon,ICE_EUA,SEP-2025,11/14/2023,90.96,USD
Carbon,ICE_EUA,OCT-2025,11/14/2023,90.96,USD
Carbon,ICE_EUA,DEC-2025,11/14/2023,91.85,USD
Carbon,ICE_EUA,JAN-2026,11/14/2023,91.85,USD
Carbon,ICE_EUA,MAR-2026,11/14/2023,93.15,USD
Carbon,ICE_EUA,APR-2026,11/14/2023,93.15,USD
Carbon,ICE_EUA,DEC-2026,11/14/2023,95.53,USD
Carbon,ICE_EUA,DEC-2027,11/14/2023,99.50,USD
Carbon,ICE_EUA,DEC-2028,11/14/2023,103.57,USD
Carbon,ICE_EUA,DEC-2029,11/14/2023,107.65,USD
Carbon,ICE_EUA,DEC-2030,11/14/2023,107.65,USD
Carbon,ICE_EUA,SPOT,11/15/2023,86.42,USD
Carbon,ICE_EUA,DEC-2023,11/15/2023,86.66,USD
Carbon,ICE_EUA,JAN-2024,11/15/2023,87.15,USD
Carbon,ICE_EUA,MAR-2024,11/15/2023,87.68,USD
Carbon,ICE_EUA,APR-2024,11/15/2023,87.68,USD
Carbon,ICE_EUA,JUN-2024,11/15/2023,88.74,USD
Carbon,ICE_EUA,AUG-2024,11/15/2023,89.53,USD
Carbon,ICE_EUA,SEP-2024,11/15/2023,89.94,USD
Carbon,ICE_EUA,OCT-2024,11/15/2023,89.94,USD
Carbon,ICE_EUA,DEC-2024,11/15/2023,90.78,USD
Carbon,ICE_EUA,JAN-2025,11/15/2023,90.78,USD
Carbon,ICE_EUA,MAR-2025,11/15/2023,91.87,USD
Carbon,ICE_EUA,APR-2025,11/15/2023,91.87,USD
Carbon,ICE_EUA,JUN-2025,11/15/2023,92.73,USD
Carbon,ICE_EUA,AUG-2025,11/15/2023,93.26,USD
Carbon,ICE_EUA,SEP-2025,11/15/2023,93.45,USD
Carbon,ICE_EUA,OCT-2025,11/15/2023,93.45,USD
Carbon,ICE_EUA,DEC-2025,11/15/2023,94.37,USD
Carbon,ICE_EUA,JAN-2026,11/15/2023,94.37,USD
Carbon,ICE_EUA,MAR-2026,11/15/2023,95.55,USD
Carbon,ICE_EUA,APR-2026,11/15/2023,95.55,USD
Carbon,ICE_EUA,DEC-2026,11/15/2023,98.21,USD
Carbon,ICE_EUA,DEC-2027,11/15/2023,102.29,USD
Carbon,ICE_EUA,DEC-2028,11/15/2023,106.42,USD
Carbon,ICE_EUA,DEC-2029,11/15/2023,110.55,USD
Carbon,ICE_EUA,DEC-2030,11/15/2023,110.55,USD
Carbon,ICE_EUA,SPOT,11/16/2023,83.33,USD
Carbon,ICE_EUA,DEC-2023,11/16/2023,83.55,USD
Carbon,ICE_EUA,JAN-2024,11/16/2023,84.03,USD
Carbon,ICE_EUA,MAR-2024,11/16/2023,84.56,USD
Carbon,ICE_EUA,APR-2024,11/16/2023,84.56,USD
Carbon,ICE_EUA,JUN-2024,11/16/2023,85.60,USD
Carbon,ICE_EUA,AUG-2024,11/16/2023,86.37,USD
Carbon,ICE_EUA,SEP-2024,11/16/2023,86.76,USD
Carbon,ICE_EUA,OCT-2024,11/16/2023,86.76,USD
Carbon,ICE_EUA,DEC-2024,11/16/2023,87.56,USD
Carbon,ICE_EUA,JAN-2025,11/16/2023,87.56,USD
Carbon,ICE_EUA,MAR-2025,11/16/2023,88.65,USD
Carbon,ICE_EUA,APR-2025,11/16/2023,88.65,USD
Carbon,ICE_EUA,JUN-2025,11/16/2023,89.49,USD
Carbon,ICE_EUA,AUG-2025,11/16/2023,90.01,USD
Carbon,ICE_EUA,SEP-2025,11/16/2023,90.20,USD
Carbon,ICE_EUA,OCT-2025,11/16/2023,90.20,USD
Carbon,ICE_EUA,DEC-2025,11/16/2023,91.10,USD
Carbon,ICE_EUA,JAN-2026,11/16/2023,91.10,USD
Carbon,ICE_EUA,MAR-2026,11/16/2023,92.24,USD
Carbon,ICE_EUA,APR-2026,11/16/2023,92.24,USD
Carbon,ICE_EUA,DEC-2026,11/16/2023,94.78,USD
Carbon,ICE_EUA,DEC-2027,11/16/2023,98.85,USD
Carbon,ICE_EUA,DEC-2028,11/16/2023,102.97,USD
Carbon,ICE_EUA,DEC-2029,11/16/2023,107.09,USD
Carbon,ICE_EUA,DEC-2030,11/16/2023,107.09,USD
Carbon,ICE_EUA,SPOT,11/17/2023,83.02,USD
Carbon,ICE_EUA,DEC-2023,11/17/2023,83.23,USD
Carbon,ICE_EUA,JAN-2024,11/17/2023,83.70,USD
Carbon,ICE_EUA,MAR-2024,11/17/2023,84.23,USD
Carbon,ICE_EUA,APR-2024,11/17/2023,84.23,USD
Carbon,ICE_EUA,JUN-2024,11/17/2023,85.24,USD
Carbon,ICE_EUA,AUG-2024,11/17/2023,85.99,USD
Carbon,ICE_EUA,SEP-2024,11/17/2023,86.40,USD
Carbon,ICE_EUA,OCT-2024,11/17/2023,86.40,USD
Carbon,ICE_EUA,DEC-2024,11/17/2023,87.22,USD
Carbon,ICE_EUA,JAN-2025,11/17/2023,87.22,USD
Carbon,ICE_EUA,MAR-2025,11/17/2023,88.30,USD
Carbon,ICE_EUA,APR-2025,11/17/2023,88.30,USD
Carbon,ICE_EUA,JUN-2025,11/17/2023,89.12,USD
Carbon,ICE_EUA,AUG-2025,11/17/2023,89.63,USD
Carbon,ICE_EUA,SEP-2025,11/17/2023,89.80,USD
Carbon,ICE_EUA,OCT-2025,11/17/2023,89.80,USD
Carbon,ICE_EUA,DEC-2025,11/17/2023,90.68,USD
Carbon,ICE_EUA,JAN-2026,11/17/2023,90.68,USD
Carbon,ICE_EUA,MAR-2026,11/17/2023,91.73,USD
Carbon,ICE_EUA,APR-2026,11/17/2023,91.73,USD
Carbon,ICE_EUA,MAY-2026,11/17/2023,91.73,USD
Carbon,ICE_EUA,JUN-2026,11/17/2023,91.73,USD
Carbon,ICE_EUA,AUG-2026,11/17/2023,92.89,USD
Carbon,ICE_EUA,SEP-2026,11/17/2023,92.89,USD
Carbon,ICE_EUA,DEC-2026,11/17/2023,94.03,USD
Carbon,ICE_EUA,DEC-2027,11/17/2023,97.75,USD
Carbon,ICE_EUA,DEC-2028,11/17/2023,101.66,USD
Carbon,ICE_EUA,DEC-2029,11/17/2023,105.58,USD
Carbon,ICE_EUA,DEC-2030,11/17/2023,105.58,USD
Carbon,ICE_EUA,SPOT,11/20/2023,83.50,USD
Carbon,ICE_EUA,DEC-2023,11/20/2023,83.72,USD
